Voltaje;Intensidad;Color 
0.648;10;G
0.652;9.5;
0.654;9;
0.656;8.5;
0.657;8;
0.66;7.5;
0.661;7;
0.663;6.5;
0.665;6;
0.667;5.5;
0.669;5;
0.671;4.5;
0.673;4;
0.675;3.5;
0.676;3;
0.678;2.5;
0.68;2;
0.681;1.5;
0.683;1;
0.685;0.5;
0.687;0;
