Voltaje;Intensidad;Color 
0.174;10;R
0.179;9.5;
0.185;9;
0.188;8.5;
0.194;8;
0.199;7.5;
0.204;7;
0.209;6.5;
0.215;6;
0.22;5.5;
0.225;5;
0.232;4.5;
0.239;4;
0.245;3.5;
0.254;3;
0.262;2.5;
0.273;2;
0.283;1.5;
0.292;1;
0.307;0.5;
0.327;0;
