X1,Y1,X2,Y2,,,,,,,,,,,,,,,,
-2.36E-03,1.40E-01,-2.36E-03,-2.24,,,,,,,,,,,,,,,,
-2.36E-03,1.00E-01,-2.36E-03,-2.24,,,,,,,,,,,,,,,,
-2.35E-03,1.00E-01,-2.35E-03,-2.24,,,,,,,,,,,,,,,,
-2.35E-03,1.00E-01,-2.35E-03,-2.24,,,,,,,,,,,,,,,,
-2.35E-03,8.00E-02,-2.35E-03,-2.24,,,,,,,,,,,,,,,,
-2.35E-03,8.00E-02,-2.35E-03,-2.24,,,,,,,,,,,,,,,,
-2.35E-03,1.20E-01,-2.35E-03,-2.3199999,,,,,,,,,,,,,,,,
-2.34E-03,8.00E-02,-2.34E-03,-2.3199999,,,,,,,,,,,,,,,,
-2.34E-03,1.00E-01,-2.34E-03,-2.3199999,,,,,,,,,,,,,,,,
-2.34E-03,6.00E-02,-2.34E-03,-2.3199999,,,,,,,,,,,,,,,,
-2.34E-03,8.00E-02,-2.34E-03,-2.3199999,,,,,,,,,,,,,,,,
-2.34E-03,8.00E-02,-2.34E-03,-2.3199999,,,,,,,,,,,,,,,,
-2.33E-03,8.00E-02,-2.33E-03,-2.3199999,,,,,,,,,,,,,,,,
-2.33E-03,2.00E-02,-2.33E-03,-2.3199999,,,,,,,,,,,,,,,,
-2.33E-03,4.00E-02,-2.33E-03,-2.3999999,,,,,,,,,,,,,,,,
-2.33E-03,4.00E-02,-2.33E-03,-2.3199999,,,,,,,,,,,,,,,,
-2.33E-03,4.00E-02,-2.33E-03,-2.3999999,,,,,,,,,,,,,,,,
-2.32E-03,2.00E-02,-2.32E-03,-2.3999999,,,,,,,,,,,,,,,,
-2.32E-03,2.00E-02,-2.32E-03,-2.3199999,,,,,,,,,,,,,,,,
-2.32E-03,2.00E-02,-2.32E-03,-2.3999999,,,,,,,,,,,,,,,,
-2.32E-03,2.00E-02,-2.32E-03,-2.3999999,,,,,,,,,,,,,,,,
-2.32E-03,-2.00E-02,-2.32E-03,-2.3999999,,,,,,,,,,,,,,,,
-2.31E-03,2.00E-02,-2.31E-03,-2.3999999,,,,,,,,,,,,,,,,
-2.31E-03,0,-2.31E-03,-2.3999999,,,,,,,,,,,,,,,,
-2.31E-03,2.00E-02,-2.31E-03,-2.3999999,,,,,,,,,,,,,,,,
-2.31E-03,-4.00E-02,-2.31E-03,-2.3999999,,,,,,,,,,,,,,,,
-2.31E-03,-2.00E-02,-2.31E-03,-2.48,,,,,,,,,,,,,,,,
-2.30E-03,-4.00E-02,-2.30E-03,-2.3999999,,,,,,,,,,,,,,,,
-2.30E-03,-4.00E-02,-2.30E-03,-2.48,,,,,,,,,,,,,,,,
-2.30E-03,-4.00E-02,-2.30E-03,-2.48,,,,,,,,,,,,,,,,
-2.30E-03,-4.00E-02,-2.30E-03,-2.48,,,,,,,,,,,,,,,,
-2.30E-03,-8.00E-02,-2.30E-03,-2.48,,,,,,,,,,,,,,,,
-2.29E-03,-6.00E-02,-2.29E-03,-2.48,,,,,,,,,,,,,,,,
-2.29E-03,-6.00E-02,-2.29E-03,-2.48,,,,,,,,,,,,,,,,
-2.29E-03,-6.00E-02,-2.29E-03,-2.3999999,,,,,,,,,,,,,,,,
-2.29E-03,-8.00E-02,-2.29E-03,-2.3999999,,,,,,,,,,,,,,,,
-2.29E-03,-1.00E-01,-2.29E-03,-2.48,,,,,,,,,,,,,,,,
-2.28E-03,-8.00E-02,-2.28E-03,-2.48,,,,,,,,,,,,,,,,
-2.28E-03,-1.00E-01,-2.28E-03,-2.48,,,,,,,,,,,,,,,,
-2.28E-03,-1.00E-01,-2.28E-03,-2.48,,,,,,,,,,,,,,,,
-2.28E-03,-1.00E-01,-2.28E-03,-2.3999999,,,,,,,,,,,,,,,,
-2.28E-03,-1.00E-01,-2.28E-03,-2.3999999,,,,,,,,,,,,,,,,
-2.27E-03,-1.00E-01,-2.27E-03,-2.3999999,,,,,,,,,,,,,,,,
-2.27E-03,-1.20E-01,-2.27E-03,-2.48,,,,,,,,,,,,,,,,
