Corriente;Flujo;Integral;
-0.058;-0.52;;
-0.049;-0.51;;
-0.04;-0.49;;
-0.032;-0.47;;
-0.025;-0.46;;
-0.017;-0.44;;
-0.01;-0.42;;
-0.004;-0.39;;
0.003;-0.37;;
0.009;-0.35;;
0.014;-0.33;;
0.02;-0.3;;
0.025;-0.27;;
0.03;-0.25;;
0.035;-0.22;;
0.041;-0.19;;
0.046;-0.16;;
0.052;-0.12;;
0.059;-0.09;;
0.066;-0.05;;
0.072;-0.01;;
0.08;0.02;;
0.087;0.06;;
0.096;0.1;;
0.105;0.14;;
0.115;0.18;;
0.126;0.23;;
0.137;0.27;;
0.151;0.31;;
0.167;0.35;;
0.184;0.4;;
0.206;0.44;;
0.232;0.48;;
0.258;0.52;;
0.284;0.55;;
0.309;0.57;;
0.333;0.59;;
0.352;0.61;;
0.368;0.62;;
0.381;0.63;;
0.389;0.64;;
0.394;0.64;;
0.395;0.64;;
0.39;0.64;;
0.38;0.64;;
0.368;0.64;;
0.355;0.64;;
0.342;0.63;;
0.328;0.63;;
0.314;0.63;;
0.3;0.63;;
0.287;0.62;;
0.274;0.62;;
0.262;0.61;;
0.247;0.61;;
0.235;0.61;;
0.223;0.6;;
0.21;0.59;;
0.199;0.59;;
0.186;0.58;;
0.174;0.57;;
0.163;0.57;;
0.151;0.56;;
0.14;0.55;;
0.129;0.54;;
0.119;0.53;;
0.109;0.52;;
0.099;0.51;;
0.089;0.49;;
0.08;0.48;;
0.071;0.47;;
0.06;0.45;;
0.051;0.44;;
0.043;0.42;;
0.035;0.41;;
0.027;0.39;;
0.02;0.37;;
0.013;0.35;;
0.006;0.33;;
-0.001;0.31;;
-0.007;0.28;;
-0.012;0.26;;
-0.017;0.23;;
-0.023;0.21;;
-0.029;0.18;;
-0.033;0.15;;
-0.039;0.12;;
-0.045;0.09;;
-0.051;0.06;;
-0.057;0.02;;
-0.063;-0.01;;
-0.07;-0.05;;
-0.076;-0.08;;
-0.084;-0.12;;
-0.092;-0.16;;
-0.101;-0.2;;
-0.111;-0.24;;
-0.121;-0.28;;
-0.133;-0.32;;
-0.146;-0.37;;
-0.161;-0.41;;
-0.178;-0.45;;
-0.197;-0.49;;
-0.219;-0.53;;
-0.245;-0.57;;
-0.272;-0.61;;
-0.296;-0.64;;
-0.321;-0.66;;
-0.343;-0.68;;
-0.361;-0.69;;
-0.377;-0.7;;
-0.387;-0.71;;
-0.394;-0.71;;
-0.397;-0.72;;
-0.398;-0.72;;
-0.391;-0.72;;
-0.38;-0.72;;
-0.368;-0.71;;
-0.354;-0.71;;
-0.341;-0.71;;
-0.328;-0.71;;
-0.315;-0.7;;
-0.302;-0.7;;
-0.288;-0.7;;
-0.276;-0.69;;
-0.264;-0.69;;
-0.251;-0.69;;
-0.239;-0.68;;
-0.227;-0.68;;
-0.214;-0.67;;
-0.203;-0.66;;
-0.191;-0.66;;
-0.179;-0.65;;
-0.169;-0.64;;
-0.157;-0.64;;
-0.146;-0.63;;
-0.135;-0.62;;
-0.125;-0.61;;
-0.114;-0.6;;
-0.105;-0.59;;
-0.095;-0.58;;
-0.085;-0.56;;
-0.075;-0.55;;
-0.066;-0.54;;
-0.058;-0.52;;
-0.049;-0.51;;
-0.041;-0.49;;
-0.033;-0.47;;
-0.025;-0.45;;
-0.018;-0.43;;
-0.011;-0.41;;
-0.004;-0.39;;
0.003;-0.37;;
0.009;-0.35;;
0.014;-0.32;;
0.02;-0.3;;
0.025;-0.27;;
0.03;-0.25;;
0.035;-0.22;;
0.041;-0.19;;
0.046;-0.15;;
0.052;-0.12;;
0.059;-0.09;;
0.065;-0.05;;
0.071;-0.02;;
0.079;0.02;;
0.086;0.06;;
0.095;0.1;;
0.104;0.14;;
0.114;0.18;;
0.125;0.22;;
0.137;0.27;;
0.151;0.31;;
0.169;0.36;;
0.186;0.4;;
0.208;0.44;;
0.233;0.48;;
0.259;0.52;;
