Distance_(cm),Gray_Value
13.1746,27.868
13.2119,27.805
13.2492,29.132
13.2865,29.557
13.3239,29.293
13.3612,29.207
13.3985,29.851
13.4358,28.856
13.4731,28.724
13.5105,29.385
13.5478,29.724
13.5851,30.351
13.6224,30.989
13.6598,30.776
13.6971,31.299
13.7344,31.328
13.7717,31.224
13.8090,31.379
13.8464,32.236
13.8837,31.655
13.9210,31.943
13.9583,32.006
13.9956,32.397
14.0330,32.615
14.0703,32.741
14.1076,33.098
14.1449,33.753
14.1823,33.408
14.2196,33.868
14.2569,34.224
14.2942,34.511
14.3315,34.724
14.3689,35.080
14.4062,35.167
14.4435,35.425
14.4808,36.126
14.5182,35.914
14.5555,36.586
14.5928,36.534
14.6301,37.115
14.6674,37.069
14.7048,37.213
14.7421,37.920
14.7794,37.713
14.8167,38.609
14.8540,38.845
14.8914,39.707
14.9287,39.948
14.9660,40.333
15.0033,40.649
15.0407,41.368
15.0780,41.213
15.1153,41.828
15.1526,42.862
15.1899,43.511
15.2273,43.672
15.2646,44.805
15.3019,45.385
15.3392,46.034
15.3766,46.425
15.4139,48.006
15.4512,48.282
15.4885,48.489
15.5258,49.891
15.5632,50.098
15.6005,50.626
15.6378,51.868
15.6751,52.218
15.7124,53.328
15.7498,54.787
15.7871,55.948
15.8244,57.241
15.8617,57.770
15.8991,58.529
15.9364,59.397
15.9737,59.994
16.0110,61.149
16.0483,62.397
16.0857,62.828
16.1230,64.345
16.1603,64.264
16.1976,64.931
16.2350,66.121
16.2723,67.454
16.3096,67.218
16.3469,67.511
16.3842,68.201
16.4216,67.856
16.4589,68.126
16.4962,66.925
16.5335,61.580
16.5708,54.678
16.6082,48.552
16.6455,45.287
16.6828,44.431
16.7201,44.971
16.7575,45.086
16.7948,44.902
16.8321,45.569
16.8694,46.937
16.9067,47.420
16.9441,49.385
16.9814,50.086
17.0187,50.793
17.0560,50.851
17.0934,51.477
17.1307,53.408
17.1680,55.448
17.2053,55.943
17.2426,57.914
17.2800,59.586
17.3173,60.253
17.3546,61.184
17.3919,62.966
17.4292,64.833
17.4666,66.213
17.5039,68.287
17.5412,70.598
17.5785,72.322
17.6159,74.885
17.6532,77.345
17.6905,79.977
17.7278,82.741
17.7651,85.563
17.8025,88.253
17.8398,90.782
17.8771,96.856
17.9144,106.828
17.9518,106.638
17.9891,108.109
18.0264,110.264
18.0637,121.425
18.1010,145.195
18.1384,122.362
18.1757,145.207
18.2130,254.172
18.2503,253.994
18.2876,253.885
18.3250,254.121
18.3623,222.983
18.3996,166.977
18.4369,159.994
18.4743,136.540
18.5116,117.632
18.5489,110.259
18.5862,109.264
18.6235,109.661
18.6609,105.925
18.6982,101.253
18.7355,98.483
18.7728,96.184
18.8102,93.379
18.8475,90.799
18.8848,88.592
18.9221,86.466
18.9594,84.782
18.9968,82.517
19.0341,79.408
19.0714,77.241
19.1087,75.540
19.1460,74.529
19.1834,73.086
19.2207,71.385
19.2580,70.333
19.2953,67.046
19.3327,66.644
19.3700,64.408
19.4073,63.598
19.4446,62.322
19.4819,59.989
19.5193,57.966
19.5566,58.391
19.5939,57.707
19.6312,57.305
19.6686,55.477
19.7059,53.891
19.7432,52.448
19.7805,51.529
19.8178,50.810
19.8552,49.080
19.8925,49.408
19.9298,49.017
19.9671,48.868
20.0044,49.753
20.0418,51.029
20.0791,53.787
20.1164,61.546
