Sinusoidal, 0.1Hz, 2V;;Saturación;;Sinusoidal, 0.3Hz, 2V;;Saturación;;Sierra, 0.1Hz, 2V;;Saturación;;Sierra, 0.3Hz, 2V;;Saturación;
I_A1 / A;&F / Vs;I_A1 / A;&F / Vs;I_A1 / A;&F / Vs;I_A1 / A;&F / Vs;I_A1 / A;&F / Vs;I_A1 / A;&F / Vs;I_A1 / A;&F / Vs;I_A1 / A;&F / Vs
0.087;0.45;;;0.089;-0.15;;;-0.01;0.35;;;0.349;0.28;;
0.065;0.44;;;0.121;-0.12;;;-0.026;0.33;;;0.35;0.31;;
0.044;0.43;;;0.15;-0.09;;;-0.043;0.32;;;0.348;0.32;;
0.022;0.42;;;0.179;-0.06;;;-0.058;0.31;;;0.342;0.34;;
0.002;0.4;;;0.207;-0.02;;;-0.073;0.3;;;0.332;0.35;;
-0.018;0.39;;;0.236;0.02;;;-0.087;0.28;;;0.319;0.35;;
-0.038;0.38;;;0.265;0.06;;;-0.101;0.27;;;0.301;0.36;;
-0.057;0.36;;;0.294;0.09;;;-0.114;0.25;;;0.282;0.36;;
-0.075;0.35;;;0.323;0.13;;;-0.128;0.24;;;0.26;0.36;;
-0.092;0.33;;;0.349;0.17;;;-0.14;0.22;;;0.235;0.36;;
-0.108;0.32;;;0.375;0.21;;;-0.152;0.2;;;0.208;0.35;;
-0.123;0.3;;;0.398;0.24;;;-0.165;0.18;;;0.179;0.35;;
-0.137;0.28;;;0.419;0.27;;;-0.179;0.16;;;0.15;0.34;;
-0.15;0.26;;;0.436;0.3;;;-0.193;0.14;;;0.12;0.34;;
-0.165;0.24;;;0.45;0.33;;;-0.206;0.12;;;0.09;0.33;;
-0.179;0.22;;;0.459;0.35;;;-0.221;0.1;;;0.061;0.32;;
-0.193;0.19;;;0.463;0.37;;;-0.236;0.07;;;0.033;0.31;;
-0.206;0.17;;;0.462;0.39;;;-0.252;0.05;;;0.004;0.3;;
-0.221;0.14;;;0.456;0.4;;;-0.268;0.03;;;-0.024;0.28;;
-0.234;0.12;;;0.443;0.41;;;-0.283;0;;;-0.051;0.27;;
-0.249;0.09;;;0.425;0.41;;;-0.301;-0.03;;;-0.076;0.25;;
-0.263;0.07;;;0.4;0.42;;;-0.32;-0.05;;;-0.101;0.23;;
-0.276;0.04;;;0.368;0.42;;;-0.339;-0.08;;;-0.122;0.21;;
-0.289;0.02;;;0.332;0.41;;;-0.358;-0.1;;;-0.142;0.19;;
-0.302;-0.01;;;0.291;0.41;;;-0.378;-0.13;;;-0.163;0.17;;
-0.311;-0.03;;;0.246;0.4;;;-0.399;-0.16;;;-0.183;0.14;;
-0.32;-0.05;;;0.201;0.39;;;-0.421;-0.18;;;-0.205;0.11;;
-0.333;-0.08;;;0.152;0.38;;;-0.444;-0.21;;;-0.229;0.08;;
-0.344;-0.1;;;0.106;0.37;;;-0.466;-0.23;;;-0.255;0.05;;
-0.356;-0.12;;;0.059;0.35;;;-0.483;-0.26;;;-0.283;0.01;;
-0.368;-0.14;;;0.015;0.33;;;-0.492;-0.28;;;-0.314;-0.02;;
-0.378;-0.16;;;-0.028;0.31;;;-0.496;-0.29;;;-0.346;-0.06;;
-0.393;-0.18;;;-0.067;0.29;;;-0.497;-0.31;;;-0.361;-0.09;;
-0.405;-0.2;;;-0.102;0.26;;;-0.497;-0.32;;;-0.368;-0.11;;
-0.415;-0.22;;;-0.133;0.23;;;-0.493;-0.33;;;-0.37;-0.13;;
-0.423;-0.23;;;-0.162;0.2;;;-0.487;-0.34;;;-0.365;-0.15;;
-0.431;-0.25;;;-0.19;0.17;;;-0.481;-0.34;;;-0.358;-0.16;;
-0.438;-0.27;;;-0.219;0.13;;;-0.473;-0.35;;;-0.347;-0.16;;
-0.444;-0.28;;;-0.248;0.09;;;-0.464;-0.35;;;-0.333;-0.17;;
-0.45;-0.29;;;-0.278;0.05;;;-0.453;-0.35;;;-0.316;-0.17;;
-0.455;-0.3;;;-0.307;0.01;;;-0.442;-0.36;;;-0.294;-0.17;;
-0.459;-0.31;;;-0.335;-0.03;;;-0.427;-0.36;;;-0.27;-0.17;;
