X1,Y1,X2,Y2,,,,,,
-2.32E-03,2.56E-01,-2.32E-03,2.40E-01,,,,,,
-2.32E-03,2.48E-01,-2.32E-03,2.48E-01,,,,,,
-2.32E-03,2.56E-01,-2.32E-03,2.48E-01,,,,,,
-2.32E-03,2.56E-01,-2.32E-03,2.56E-01,,,,,,
-2.31E-03,2.56E-01,-2.31E-03,2.56E-01,,,,,,
-2.31E-03,2.56E-01,-2.31E-03,2.64E-01,,,,,,
-2.31E-03,2.56E-01,-2.31E-03,2.56E-01,,,,,,
-2.31E-03,2.64E-01,-2.31E-03,2.64E-01,,,,,,
-2.31E-03,2.56E-01,-2.31E-03,2.64E-01,,,,,,
-2.30E-03,2.64E-01,-2.30E-03,2.56E-01,,,,,,
-2.30E-03,2.64E-01,-2.30E-03,2.72E-01,,,,,,
-2.30E-03,2.56E-01,-2.30E-03,2.56E-01,,,,,,
-2.30E-03,2.64E-01,-2.30E-03,2.64E-01,,,,,,
-2.30E-03,2.64E-01,-2.30E-03,2.64E-01,,,,,,
-2.29E-03,2.72E-01,-2.29E-03,2.72E-01,,,,,,
-2.29E-03,2.72E-01,-2.29E-03,2.80E-01,,,,,,
-2.29E-03,2.64E-01,-2.29E-03,2.56E-01,,,,,,
-2.29E-03,2.72E-01,-2.29E-03,2.72E-01,,,,,,
-2.29E-03,2.72E-01,-2.29E-03,2.72E-01,,,,,,
-2.28E-03,2.72E-01,-2.28E-03,2.64E-01,,,,,,
-2.28E-03,2.80E-01,-2.28E-03,2.64E-01,,,,,,
-2.28E-03,2.80E-01,-2.28E-03,2.72E-01,,,,,,
-2.28E-03,2.72E-01,-2.28E-03,2.72E-01,,,,,,
-2.28E-03,2.80E-01,-2.28E-03,2.72E-01,,,,,,
-2.27E-03,2.80E-01,-2.27E-03,2.80E-01,,,,,,
-2.27E-03,2.80E-01,-2.27E-03,2.80E-01,,,,,,
-2.27E-03,2.80E-01,-2.27E-03,2.72E-01,,,,,,
-2.27E-03,2.80E-01,-2.27E-03,2.72E-01,,,,,,
-2.27E-03,2.80E-01,-2.27E-03,2.80E-01,,,,,,
-2.26E-03,2.88E-01,-2.26E-03,2.72E-01,,,,,,
-2.26E-03,2.80E-01,-2.26E-03,2.72E-01,,,,,,
-2.26E-03,2.80E-01,-2.26E-03,2.96E-01,,,,,,
-2.26E-03,2.88E-01,-2.26E-03,2.88E-01,,,,,,
-2.26E-03,2.88E-01,-2.26E-03,2.96E-01,,,,,,
-2.25E-03,2.80E-01,-2.25E-03,2.80E-01,,,,,,
-2.25E-03,2.88E-01,-2.25E-03,2.80E-01,,,,,,
-2.25E-03,2.88E-01,-2.25E-03,2.88E-01,,,,,,
-2.25E-03,2.88E-01,-2.25E-03,2.88E-01,,,,,,
-2.25E-03,2.80E-01,-2.25E-03,2.80E-01,,,,,,
-2.24E-03,2.88E-01,-2.24E-03,2.88E-01,,,,,,
-2.24E-03,2.88E-01,-2.24E-03,2.88E-01,,,,,,
-2.24E-03,2.88E-01,-2.24E-03,2.88E-01,,,,,,
-2.24E-03,2.88E-01,-2.24E-03,2.96E-01,,,,,,
-2.24E-03,2.88E-01,-2.24E-03,3.04E-01,,,,,,
-2.23E-03,2.88E-01,-2.23E-03,2.96E-01,,,,,,
-2.23E-03,2.96E-01,-2.23E-03,2.96E-01,,,,,,
-2.23E-03,2.96E-01,-2.23E-03,2.96E-01,,,,,,
-2.23E-03,2.96E-01,-2.23E-03,2.88E-01,,,,,,
-2.23E-03,2.96E-01,-2.23E-03,2.88E-01,,,,,,
-2.22E-03,2.88E-01,-2.22E-03,2.88E-01,,,,,,
-2.22E-03,2.88E-01,-2.22E-03,2.88E-01,,,,,,
-2.22E-03,2.96E-01,-2.22E-03,2.88E-01,,,,,,
-2.22E-03,2.96E-01,-2.22E-03,2.96E-01,,,,,,
-2.22E-03,3.04E-01,-2.22E-03,2.88E-01,,,,,,
-2.21E-03,2.96E-01,-2.21E-03,2.96E-01,,,,,,
-2.21E-03,2.96E-01,-2.21E-03,2.96E-01,,,,,,
-2.21E-03,2.96E-01,-2.21E-03,2.96E-01,,,,,,
