X1,Y1,X2,Y2,,,,
-4.58E-03,1.12,-4.58E-03,1.1999999,,,,
-4.57E-03,1.12,-4.57E-03,1.1999999,,,,
-4.57E-03,1.12,-4.57E-03,1.12,,,,
-4.56E-03,1.12,-4.56E-03,1.12,,,,
-4.56E-03,1.12,-4.56E-03,1.12,,,,
-4.56E-03,1.12,-4.56E-03,1.04,,,,
-4.55E-03,1.12,-4.55E-03,1.04,,,,
-4.55E-03,1.12,-4.55E-03,1.04,,,,
-4.54E-03,1.12,-4.54E-03,1.04,,,,
-4.54E-03,1.0799999,-4.54E-03,1.04,,,,
-4.54E-03,1.12,-4.54E-03,1.04,,,,
-4.53E-03,1.12,-4.53E-03,9.60E-01,,,,
-4.53E-03,1.12,-4.53E-03,9.60E-01,,,,
-4.52E-03,1.12,-4.52E-03,9.60E-01,,,,
-4.52E-03,1.12,-4.52E-03,9.60E-01,,,,
-4.52E-03,1.12,-4.52E-03,8.80E-01,,,,
-4.51E-03,1.12,-4.51E-03,8.80E-01,,,,
-4.51E-03,1.12,-4.51E-03,8.80E-01,,,,
-4.50E-03,1.12,-4.50E-03,8.00E-01,,,,
-4.50E-03,1.12,-4.50E-03,8.00E-01,,,,
-4.50E-03,1.12,-4.50E-03,8.00E-01,,,,
-4.49E-03,1.12,-4.49E-03,7.20E-01,,,,
-4.49E-03,1.12,-4.49E-03,7.20E-01,,,,
-4.48E-03,1.12,-4.48E-03,7.20E-01,,,,
-4.48E-03,1.12,-4.48E-03,7.20E-01,,,,
-4.48E-03,1.0799999,-4.48E-03,7.20E-01,,,,
-4.47E-03,1.0799999,-4.47E-03,7.20E-01,,,,
-4.47E-03,1.0799999,-4.47E-03,6.40E-01,,,,
-4.46E-03,1.0799999,-4.46E-03,6.40E-01,,,,
-4.46E-03,1.0799999,-4.46E-03,6.40E-01,,,,
-4.46E-03,1.12,-4.46E-03,5.60E-01,,,,
-4.45E-03,1.0799999,-4.45E-03,5.60E-01,,,,
-4.45E-03,1.0799999,-4.45E-03,5.60E-01,,,,
-4.44E-03,1.0799999,-4.44E-03,4.80E-01,,,,
-4.44E-03,1.0799999,-4.44E-03,4.80E-01,,,,
-4.44E-03,1.0799999,-4.44E-03,4.00E-01,,,,
-4.43E-03,1.0799999,-4.43E-03,4.00E-01,,,,
-4.43E-03,1.0799999,-4.43E-03,4.00E-01,,,,
-4.42E-03,1.0799999,-4.42E-03,4.00E-01,,,,
-4.42E-03,1.0799999,-4.42E-03,3.20E-01,,,,
-4.42E-03,1.0799999,-4.42E-03,3.20E-01,,,,
-4.41E-03,1.04,-4.41E-03,3.20E-01,,,,
-4.41E-03,1.04,-4.41E-03,2.40E-01,,,,
-4.40E-03,1.04,-4.40E-03,2.40E-01,,,,
-4.40E-03,1.04,-4.40E-03,2.40E-01,,,,
-4.40E-03,1.04,-4.40E-03,2.40E-01,,,,
-4.39E-03,1,-4.39E-03,2.40E-01,,,,
-4.39E-03,1.04,-4.39E-03,1.60E-01,,,,
-4.38E-03,1.04,-4.38E-03,2.40E-01,,,,
-4.38E-03,1.04,-4.38E-03,2.40E-01,,,,
-4.38E-03,1,-4.38E-03,1.60E-01,,,,
-4.37E-03,1,-4.37E-03,1.60E-01,,,,
-4.37E-03,1.04,-4.37E-03,8.00E-02,,,,
-4.36E-03,1,-4.36E-03,1.60E-01,,,,
-4.36E-03,1,-4.36E-03,8.00E-02,,,,
-4.36E-03,1,-4.36E-03,8.00E-02,,,,
-4.35E-03,1,-4.35E-03,8.00E-02,,,,
-4.35E-03,9.60E-01,-4.35E-03,0,,,,
-4.34E-03,9.60E-01,-4.34E-03,0,,,,
-4.34E-03,1,-4.34E-03,0,,,,
-4.34E-03,1,-4.34E-03,0,,,,
-4.33E-03,9.60E-01,-4.33E-03,-8.00E-02,,,,
-4.33E-03,9.60E-01,-4.33E-03,-8.00E-02,,,,
-4.32E-03,9.60E-01,-4.32E-03,-1.60E-01,,,,
-4.32E-03,9.60E-01,-4.32E-03,-1.60E-01,,,,
-4.32E-03,9.60E-01,-4.32E-03,-2.40E-01,,,,
-4.31E-03,9.60E-01,-4.31E-03,-2.40E-01,,,,
-4.31E-03,9.60E-01,-4.31E-03,-1.60E-01,,,,
-4.30E-03,9.20E-01,-4.30E-03,-2.40E-01,,,,
-4.30E-03,9.60E-01,-4.30E-03,-2.40E-01,,,,
-4.30E-03,9.20E-01,-4.30E-03,-3.20E-01,,,,
-4.29E-03,8.80E-01,-4.29E-03,-3.20E-01,,,,
-4.29E-03,9.20E-01,-4.29E-03,-3.20E-01,,,,
-4.28E-03,9.20E-01,-4.28E-03,-4.00E-01,,,,
-4.28E-03,8.80E-01,-4.28E-03,-4.00E-01,,,,
-4.28E-03,8.80E-01,-4.28E-03,-4.00E-01,,,,
-4.27E-03,8.80E-01,-4.27E-03,-4.80E-01,,,,
-4.27E-03,8.80E-01,-4.27E-03,-4.80E-01,,,,
-4.26E-03,8.80E-01,-4.26E-03,-4.80E-01,,,,
-4.26E-03,8.80E-01,-4.26E-03,-5.60E-01,,,,
-4.26E-03,8.80E-01,-4.26E-03,-4.80E-01,,,,
-4.25E-03,8.80E-01,-4.25E-03,-4.80E-01,,,,
-4.25E-03,8.80E-01,-4.25E-03,-5.60E-01,,,,
-4.24E-03,8.40E-01,-4.24E-03,-5.60E-01,,,,
-4.24E-03,8.40E-01,-4.24E-03,-6.40E-01,,,,
-4.24E-03,8.00E-01,-4.24E-03,-5.60E-01,,,,
-4.23E-03,8.00E-01,-4.23E-03,-6.40E-01,,,,
-4.23E-03,8.00E-01,-4.23E-03,-6.40E-01,,,,
-4.22E-03,8.00E-01,-4.22E-03,-6.40E-01,,,,
-4.22E-03,8.00E-01,-4.22E-03,-6.40E-01,,,,
-4.22E-03,8.00E-01,-4.22E-03,-7.20E-01,,,,
-4.21E-03,8.00E-01,-4.21E-03,-7.20E-01,,,,
-4.21E-03,8.00E-01,-4.21E-03,-8.00E-01,,,,
-4.20E-03,7.60E-01,-4.20E-03,-8.00E-01,,,,
-4.20E-03,7.60E-01,-4.20E-03,-8.00E-01,,,,
-4.20E-03,7.60E-01,-4.20E-03,-8.80E-01,,,,
-4.19E-03,7.60E-01,-4.19E-03,-8.80E-01,,,,
-4.19E-03,7.20E-01,-4.19E-03,-8.80E-01,,,,
-4.18E-03,7.20E-01,-4.18E-03,-8.80E-01,,,,
-4.18E-03,7.20E-01,-4.18E-03,-9.60E-01,,,,
-4.18E-03,7.20E-01,-4.18E-03,-9.60E-01,,,,
-4.17E-03,7.20E-01,-4.17E-03,-9.60E-01,,,,
-4.17E-03,6.80E-01,-4.17E-03,-1.04,,,,
-4.16E-03,7.20E-01,-4.16E-03,-9.60E-01,,,,
-4.16E-03,7.20E-01,-4.16E-03,-1.04,,,,
-4.16E-03,6.80E-01,-4.16E-03,-1.04,,,,
-4.15E-03,6.80E-01,-4.15E-03,-1.04,,,,
-4.15E-03,6.80E-01,-4.15E-03,-1.04,,,,
-4.14E-03,6.80E-01,-4.14E-03,-1.12,,,,
-4.14E-03,6.80E-01,-4.14E-03,-1.12,,,,
-4.14E-03,6.40E-01,-4.14E-03,-1.12,,,,
-4.13E-03,6.40E-01,-4.13E-03,-1.12,,,,
-4.13E-03,6.40E-01,-4.13E-03,-1.1999999,,,,
-4.12E-03,6.40E-01,-4.12E-03,-1.1999999,,,,
-4.12E-03,6.00E-01,-4.12E-03,-1.1999999,,,,
-4.12E-03,6.00E-01,-4.12E-03,-1.1999999,,,,
-4.11E-03,6.00E-01,-4.11E-03,-1.28,,,,
-4.11E-03,5.60E-01,-4.11E-03,-1.28,,,,
-4.10E-03,6.00E-01,-4.10E-03,-1.28,,,,
-4.10E-03,5.60E-01,-4.10E-03,-1.28,,,,
-4.10E-03,5.60E-01,-4.10E-03,-1.36,,,,
-4.09E-03,5.60E-01,-4.09E-03,-1.36,,,,
-4.09E-03,5.60E-01,-4.09E-03,-1.36,,,,
-4.08E-03,5.60E-01,-4.08E-03,-1.36,,,,
-4.08E-03,5.20E-01,-4.08E-03,-1.4399999,,,,
-4.08E-03,5.20E-01,-4.08E-03,-1.4399999,,,,
-4.07E-03,5.20E-01,-4.07E-03,-1.4399999,,,,
-4.07E-03,5.20E-01,-4.07E-03,-1.4399999,,,,
-4.06E-03,5.20E-01,-4.06E-03,-1.52,,,,
-4.06E-03,5.20E-01,-4.06E-03,-1.52,,,,
-4.06E-03,5.20E-01,-4.06E-03,-1.52,,,,
-4.05E-03,4.80E-01,-4.05E-03,-1.52,,,,
-4.05E-03,4.80E-01,-4.05E-03,-1.52,,,,
-4.04E-03,4.80E-01,-4.04E-03,-1.5999999,,,,
-4.04E-03,4.80E-01,-4.04E-03,-1.52,,,,
-4.04E-03,4.40E-01,-4.04E-03,-1.5999999,,,,
-4.03E-03,4.40E-01,-4.03E-03,-1.5999999,,,,
-4.03E-03,4.40E-01,-4.03E-03,-1.6799999,,,,
-4.02E-03,4.00E-01,-4.02E-03,-1.6799999,,,,
-4.02E-03,4.00E-01,-4.02E-03,-1.6799999,,,,
-4.02E-03,4.00E-01,-4.02E-03,-1.6799999,,,,
-4.01E-03,4.00E-01,-4.01E-03,-1.6799999,,,,
-4.01E-03,3.60E-01,-4.01E-03,-1.6799999,,,,
-4.00E-03,4.00E-01,-4.00E-03,-1.6799999,,,,
-4.00E-03,3.60E-01,-4.00E-03,-1.76,,,,
-4.00E-03,3.20E-01,-4.00E-03,-1.76,,,,
-3.99E-03,3.60E-01,-3.99E-03,-1.76,,,,
-3.99E-03,3.20E-01,-3.99E-03,-1.8399999,,,,
-3.98E-03,3.20E-01,-3.98E-03,-1.76,,,,
-3.98E-03,2.80E-01,-3.98E-03,-1.8399999,,,,
-3.98E-03,2.80E-01,-3.98E-03,-1.76,,,,
-3.97E-03,2.80E-01,-3.97E-03,-1.8399999,,,,
-3.97E-03,2.80E-01,-3.97E-03,-1.8399999,,,,
-3.96E-03,2.80E-01,-3.96E-03,-1.8399999,,,,
-3.96E-03,2.80E-01,-3.96E-03,-1.8399999,,,,
-3.96E-03,2.40E-01,-3.96E-03,-1.92,,,,
-3.95E-03,2.40E-01,-3.95E-03,-1.92,,,,
-3.95E-03,2.40E-01,-3.95E-03,-1.92,,,,
-3.94E-03,2.40E-01,-3.94E-03,-1.92,,,,
-3.94E-03,2.00E-01,-3.94E-03,-1.92,,,,
-3.94E-03,2.00E-01,-3.94E-03,-1.92,,,,
-3.93E-03,2.00E-01,-3.93E-03,-2,,,,
-3.93E-03,1.60E-01,-3.93E-03,-2,,,,
-3.92E-03,2.00E-01,-3.92E-03,-2,,,,
-3.92E-03,1.60E-01,-3.92E-03,-2.0799999,,,,
-3.92E-03,1.60E-01,-3.92E-03,-2.0799999,,,,
-3.91E-03,1.20E-01,-3.91E-03,-2.0799999,,,,
-3.91E-03,1.20E-01,-3.91E-03,-2.0799999,,,,
-3.90E-03,1.20E-01,-3.90E-03,-2.0799999,,,,
-3.90E-03,1.20E-01,-3.90E-03,-2.0799999,,,,
-3.90E-03,1.20E-01,-3.90E-03,-2.0799999,,,,
-3.89E-03,1.20E-01,-3.89E-03,-2.0799999,,,,
-3.89E-03,1.20E-01,-3.89E-03,-2.1599998,,,,
-3.88E-03,8.00E-02,-3.88E-03,-2.1599998,,,,
-3.88E-03,8.00E-02,-3.88E-03,-2.1599998,,,,
-3.88E-03,8.00E-02,-3.88E-03,-2.24,,,,
-3.87E-03,8.00E-02,-3.87E-03,-2.1599998,,,,
-3.87E-03,4.00E-02,-3.87E-03,-2.24,,,,
-3.86E-03,4.00E-02,-3.86E-03,-2.1599998,,,,
-3.86E-03,4.00E-02,-3.86E-03,-2.1599998,,,,
-3.86E-03,4.00E-02,-3.86E-03,-2.24,,,,
-3.85E-03,0,-3.85E-03,-2.24,,,,
-3.85E-03,0,-3.85E-03,-2.24,,,,
-3.84E-03,0,-3.84E-03,-2.24,,,,
-3.84E-03,0,-3.84E-03,-2.24,,,,
-3.84E-03,-4.00E-02,-3.84E-03,-2.24,,,,
-3.83E-03,-4.00E-02,-3.83E-03,-2.24,,,,
-3.83E-03,-8.00E-02,-3.83E-03,-2.24,,,,
-3.82E-03,-4.00E-02,-3.82E-03,-2.24,,,,
-3.82E-03,-8.00E-02,-3.82E-03,-2.24,,,,
-3.82E-03,-8.00E-02,-3.82E-03,-2.24,,,,
-3.81E-03,-1.20E-01,-3.81E-03,-2.24,,,,
-3.81E-03,-8.00E-02,-3.81E-03,-2.3199999,,,,
-3.80E-03,-1.60E-01,-3.80E-03,-2.3199999,,,,
-3.80E-03,-8.00E-02,-3.80E-03,-2.24,,,,
-3.80E-03,-1.20E-01,-3.80E-03,-2.3199999,,,,
-3.79E-03,-1.60E-01,-3.79E-03,-2.3199999,,,,
-3.79E-03,-1.60E-01,-3.79E-03,-2.24,,,,
-3.78E-03,-1.60E-01,-3.78E-03,-2.3199999,,,,
-3.78E-03,-1.60E-01,-3.78E-03,-2.3199999,,,,
-3.78E-03,-1.60E-01,-3.78E-03,-2.3199999,,,,
-3.77E-03,-2.00E-01,-3.77E-03,-2.3999999,,,,
-3.77E-03,-2.00E-01,-3.77E-03,-2.3999999,,,,
-3.76E-03,-2.00E-01,-3.76E-03,-2.3199999,,,,
-3.76E-03,-2.40E-01,-3.76E-03,-2.3999999,,,,
-3.76E-03,-2.40E-01,-3.76E-03,-2.3199999,,,,
-3.75E-03,-2.40E-01,-3.75E-03,-2.3999999,,,,
-3.75E-03,-2.80E-01,-3.75E-03,-2.3999999,,,,
-3.74E-03,-2.80E-01,-3.74E-03,-2.3999999,,,,
-3.74E-03,-2.80E-01,-3.74E-03,-2.3999999,,,,
-3.74E-03,-2.80E-01,-3.74E-03,-2.3999999,,,,
-3.73E-03,-2.80E-01,-3.73E-03,-2.3999999,,,,
-3.73E-03,-2.80E-01,-3.73E-03,-2.3999999,,,,
-3.72E-03,-3.20E-01,-3.72E-03,-2.3999999,,,,
-3.72E-03,-3.20E-01,-3.72E-03,-2.3999999,,,,
-3.72E-03,-3.20E-01,-3.72E-03,-2.3999999,,,,
-3.71E-03,-3.20E-01,-3.71E-03,-2.3999999,,,,
-3.71E-03,-3.60E-01,-3.71E-03,-2.3999999,,,,
-3.70E-03,-3.60E-01,-3.70E-03,-2.3999999,,,,
-3.70E-03,-3.60E-01,-3.70E-03,-2.3999999,,,,
-3.70E-03,-3.60E-01,-3.70E-03,-2.48,,,,
-3.69E-03,-4.00E-01,-3.69E-03,-2.48,,,,
-3.69E-03,-4.00E-01,-3.69E-03,-2.48,,,,
-3.68E-03,-4.00E-01,-3.68E-03,-2.48,,,,
-3.68E-03,-4.00E-01,-3.68E-03,-2.48,,,,
-3.68E-03,-4.40E-01,-3.68E-03,-2.3999999,,,,
-3.67E-03,-4.40E-01,-3.67E-03,-2.48,,,,
-3.67E-03,-4.40E-01,-3.67E-03,-2.48,,,,
-3.66E-03,-4.40E-01,-3.66E-03,-2.48,,,,
-3.66E-03,-4.80E-01,-3.66E-03,-2.48,,,,
-3.66E-03,-4.80E-01,-3.66E-03,-2.3999999,,,,
-3.65E-03,-4.80E-01,-3.65E-03,-2.48,,,,
-3.65E-03,-4.80E-01,-3.65E-03,-2.48,,,,
-3.64E-03,-5.20E-01,-3.64E-03,-2.48,,,,
-3.64E-03,-4.80E-01,-3.64E-03,-2.48,,,,
-3.64E-03,-5.20E-01,-3.64E-03,-2.48,,,,
-3.63E-03,-4.80E-01,-3.63E-03,-2.3999999,,,,
-3.63E-03,-5.20E-01,-3.63E-03,-2.48,,,,
-3.62E-03,-5.20E-01,-3.62E-03,-2.48,,,,
-3.62E-03,-5.60E-01,-3.62E-03,-2.48,,,,
-3.62E-03,-5.60E-01,-3.62E-03,-2.48,,,,
-3.61E-03,-5.60E-01,-3.61E-03,-2.48,,,,
-3.61E-03,-5.60E-01,-3.61E-03,-2.3999999,,,,
-3.60E-03,-5.60E-01,-3.60E-03,-2.3999999,,,,
-3.60E-03,-5.60E-01,-3.60E-03,-2.3999999,,,,
-3.60E-03,-5.60E-01,-3.60E-03,-2.48,,,,
-3.59E-03,-6.00E-01,-3.59E-03,-2.48,,,,
-3.59E-03,-6.00E-01,-3.59E-03,-2.48,,,,
-3.58E-03,-6.40E-01,-3.58E-03,-2.48,,,,
-3.58E-03,-6.40E-01,-3.58E-03,-2.48,,,,
-3.58E-03,-6.80E-01,-3.58E-03,-2.3999999,,,,
-3.57E-03,-6.40E-01,-3.57E-03,-2.3999999,,,,
-3.57E-03,-6.40E-01,-3.57E-03,-2.3999999,,,,
-3.56E-03,-6.80E-01,-3.56E-03,-2.3999999,,,,
-3.56E-03,-6.80E-01,-3.56E-03,-2.48,,,,
-3.56E-03,-7.20E-01,-3.56E-03,-2.3999999,,,,
-3.55E-03,-6.80E-01,-3.55E-03,-2.3999999,,,,
-3.55E-03,-6.80E-01,-3.55E-03,-2.3999999,,,,
-3.54E-03,-7.20E-01,-3.54E-03,-2.3999999,,,,
-3.54E-03,-7.20E-01,-3.54E-03,-2.3999999,,,,
-3.54E-03,-7.20E-01,-3.54E-03,-2.3999999,,,,
-3.53E-03,-7.20E-01,-3.53E-03,-2.3999999,,,,
-3.53E-03,-7.20E-01,-3.53E-03,-2.3999999,,,,
