X1,Y1,X2,Y2,,,,
-5.00E-03,-8.00E-02,-5.00E-03,-2.3999999,,,,
-4.99E-03,-8.00E-02,-4.99E-03,-2.3999999,,,,
-4.99E-03,-8.00E-02,-4.99E-03,-2.3999999,,,,
-4.98E-03,-1.00E-01,-4.98E-03,-2.3999999,,,,
-4.98E-03,-1.20E-01,-4.98E-03,-2.3999999,,,,
-4.98E-03,-1.40E-01,-4.98E-03,-2.3999999,,,,
-4.97E-03,-1.60E-01,-4.97E-03,-2.48,,,,
-4.97E-03,-1.40E-01,-4.97E-03,-2.48,,,,
-4.96E-03,-1.80E-01,-4.96E-03,-2.3999999,,,,
-4.96E-03,-1.80E-01,-4.96E-03,-2.48,,,,
-4.96E-03,-1.80E-01,-4.96E-03,-2.48,,,,
-4.95E-03,-1.80E-01,-4.95E-03,-2.3999999,,,,
-4.95E-03,-2.00E-01,-4.95E-03,-2.48,,,,
-4.94E-03,-2.20E-01,-4.94E-03,-2.3999999,,,,
-4.94E-03,-2.40E-01,-4.94E-03,-2.48,,,,
-4.94E-03,-2.20E-01,-4.94E-03,-2.48,,,,
-4.93E-03,-2.40E-01,-4.93E-03,-2.48,,,,
-4.93E-03,-2.60E-01,-4.93E-03,-2.48,,,,
-4.92E-03,-2.60E-01,-4.92E-03,-2.48,,,,
-4.92E-03,-2.60E-01,-4.92E-03,-2.48,,,,
-4.92E-03,-3.00E-01,-4.92E-03,-2.48,,,,
-4.91E-03,-3.00E-01,-4.91E-03,-2.48,,,,
-4.91E-03,-3.00E-01,-4.91E-03,-2.48,,,,
-4.90E-03,-3.20E-01,-4.90E-03,-2.48,,,,
-4.90E-03,-3.40E-01,-4.90E-03,-2.48,,,,
-4.90E-03,-3.40E-01,-4.90E-03,-2.48,,,,
-4.89E-03,-3.40E-01,-4.89E-03,-2.48,,,,
-4.89E-03,-3.60E-01,-4.89E-03,-2.48,,,,
-4.88E-03,-3.60E-01,-4.88E-03,-2.48,,,,
-4.88E-03,-3.80E-01,-4.88E-03,-2.48,,,,
-4.88E-03,-3.80E-01,-4.88E-03,-2.48,,,,
-4.87E-03,-4.00E-01,-4.87E-03,-2.3999999,,,,
-4.87E-03,-3.80E-01,-4.87E-03,-2.3999999,,,,
-4.86E-03,-3.80E-01,-4.86E-03,-2.3999999,,,,
-4.86E-03,-4.20E-01,-4.86E-03,-2.48,,,,
-4.86E-03,-4.20E-01,-4.86E-03,-2.3999999,,,,
-4.85E-03,-4.20E-01,-4.85E-03,-2.48,,,,
-4.85E-03,-4.40E-01,-4.85E-03,-2.3999999,,,,
-4.84E-03,-4.40E-01,-4.84E-03,-2.48,,,,
-4.84E-03,-4.40E-01,-4.84E-03,-2.3999999,,,,
-4.84E-03,-4.60E-01,-4.84E-03,-2.3999999,,,,
-4.83E-03,-4.60E-01,-4.83E-03,-2.3999999,,,,
-4.83E-03,-4.80E-01,-4.83E-03,-2.3199999,,,,
-4.82E-03,-5.00E-01,-4.82E-03,-2.3999999,,,,
-4.82E-03,-5.00E-01,-4.82E-03,-2.3999999,,,,
-4.82E-03,-5.20E-01,-4.82E-03,-2.3999999,,,,
-4.81E-03,-5.20E-01,-4.81E-03,-2.3199999,,,,
-4.81E-03,-5.20E-01,-4.81E-03,-2.3199999,,,,
-4.80E-03,-5.20E-01,-4.80E-03,-2.3199999,,,,
-4.80E-03,-5.40E-01,-4.80E-03,-2.3199999,,,,
-4.80E-03,-5.60E-01,-4.80E-03,-2.3199999,,,,
-4.79E-03,-5.40E-01,-4.79E-03,-2.3199999,,,,
