X1,Y1,X2,Y2,,,,
-5.00E-03,-5.80E-01,-5.00E-03,2.40E-01,,,,
-4.99E-03,-5.80E-01,-4.99E-03,3.20E-01,,,,
-4.99E-03,-5.80E-01,-4.99E-03,3.20E-01,,,,
-4.98E-03,-5.80E-01,-4.98E-03,4.00E-01,,,,
-4.98E-03,-5.80E-01,-4.98E-03,4.80E-01,,,,
-4.98E-03,-5.80E-01,-4.98E-03,5.60E-01,,,,
-4.97E-03,-5.60E-01,-4.97E-03,5.60E-01,,,,
-4.97E-03,-5.60E-01,-4.97E-03,5.60E-01,,,,
-4.96E-03,-5.60E-01,-4.96E-03,6.40E-01,,,,
-4.96E-03,-5.40E-01,-4.96E-03,6.40E-01,,,,
-4.96E-03,-5.40E-01,-4.96E-03,6.40E-01,,,,
-4.95E-03,-5.40E-01,-4.95E-03,7.20E-01,,,,
-4.95E-03,-5.40E-01,-4.95E-03,8.00E-01,,,,
-4.94E-03,-5.40E-01,-4.94E-03,8.00E-01,,,,
-4.94E-03,-5.20E-01,-4.94E-03,8.80E-01,,,,
-4.94E-03,-5.00E-01,-4.94E-03,8.80E-01,,,,
-4.93E-03,-5.00E-01,-4.93E-03,9.60E-01,,,,
-4.93E-03,-5.00E-01,-4.93E-03,9.60E-01,,,,
-4.92E-03,-5.00E-01,-4.92E-03,1.04,,,,
-4.92E-03,-4.80E-01,-4.92E-03,1.04,,,,
-4.92E-03,-4.60E-01,-4.92E-03,1.12,,,,
-4.91E-03,-5.00E-01,-4.91E-03,1.12,,,,
-4.91E-03,-4.60E-01,-4.91E-03,1.1999999,,,,
-4.90E-03,-4.60E-01,-4.90E-03,1.1999999,,,,
-4.90E-03,-4.40E-01,-4.90E-03,1.28,,,,
-4.90E-03,-4.40E-01,-4.90E-03,1.28,,,,
-4.89E-03,-4.40E-01,-4.89E-03,1.28,,,,
-4.89E-03,-4.20E-01,-4.89E-03,1.36,,,,
-4.88E-03,-4.20E-01,-4.88E-03,1.36,,,,
-4.88E-03,-4.00E-01,-4.88E-03,1.36,,,,
-4.88E-03,-3.80E-01,-4.88E-03,1.36,,,,
-4.87E-03,-4.00E-01,-4.87E-03,1.52,,,,
