Record Length,2500,Points,-1.2900000E-3,-1.0400000,,Record Length,2500,Points,-1.2900000E-3,-39.99999911E-3,
Sample Interval,1.000000E-6,s,-1.2890000E-3,-1.0400000,,Sample Interval,1.000000E-6,s,-1.2890000E-3,-19.9999996E-3,
Trigger Point,1.2900001E3,Samples,-1.2880000E-3,-1.0400000,,Trigger Point,1.2900001E3,Samples,-1.2880000E-3,-39.99999911E-3,
,,,-1.2870000E-3,-1.000000,,,,,-1.2870000E-3,-39.99999911E-3,
,,,-1.2860000E-3,-1.0400000,,,,,-1.2860000E-3,-59.999998659E-3,
,,,-1.2850000E-3,-1.0400000,,,,,-1.2850000E-3,-39.99999911E-3,
Source,CH1,,-1.2840000E-3,-1.000000,,Source,CH2,,-1.2840000E-3,-59.999998659E-3,
Vertical Units,Volts,,-1.2830000E-3,-1.000000,,Vertical Units,Volts,,-1.2830000E-3,-39.99999911E-3,
Vertical Scale,999.999977648E-3,,-1.2820001E-3,-1.000000,,Vertical Scale,499.999988824E-3,,-1.2820001E-3,-59.999998659E-3,
Vertical Offset,0,,-1.2810001E-3,-1.0400000,,Vertical Offset,0,,-1.2810001E-3,-59.999998659E-3,
Horizontal Units,s,,-1.2800001E-3,-1.0400000,,Horizontal Units,s,,-1.2800001E-3,-39.99999911E-3,
Horizontal Scale,249.99999937E-6,,-1.2790001E-3,-1.0400000,,Horizontal Scale,249.99999937E-6,,-1.2790001E-3,-59.999998659E-3,
Pt Fmt,Y,,-1.2780001E-3,-1.000000,,Pt Fmt,Y,,-1.2780001E-3,-39.99999911E-3,
Yzero,2.2800000,,-1.2770001E-3,-1.000000,,Yzero,1.9200000,,-1.2770001E-3,-39.99999911E-3,
Probe Atten,1.000000,,-1.2760001E-3,-1.0400000,,Probe Atten,1.000000,,-1.2760001E-3,-59.999998659E-3,
,,,-1.2750000E-3,-1.0400000,,,,,-1.2750000E-3,-59.999998659E-3,
Note,TBS 1102B-EDU - 16:55:32   7/03/2024,,-1.2740000E-3,-1.0400000,,Note,TBS 1102B-EDU - 16:55:32   7/03/2024,,-1.2740000E-3,-59.999998659E-3,
,,,-1.2730000E-3,-1.0400000,,,,,-1.2730000E-3,-59.999998659E-3,
,,,-1.2720000E-3,-1.0400000,,,,,-1.2720000E-3,-39.99999911E-3,
,,,-1.2710000E-3,-1.0400000,,,,,-1.2710000E-3,-59.999998659E-3,
,,,-1.2700000E-3,-1.000000,,,,,-1.2700000E-3,-39.99999911E-3,
,,,-1.2690000E-3,-1.0400000,,,,,-1.2690000E-3,-79.999998212E-3,
,,,-1.2680000E-3,-1.0400000,,,,,-1.2680000E-3,-59.999998659E-3,
,,,-1.2670001E-3,-1.0400000,,,,,-1.2670001E-3,-59.999998659E-3,
,,,-1.2660001E-3,-1.000000,,,,,-1.2660001E-3,-79.999998212E-3,
,,,-1.2650001E-3,-1.0400000,,,,,-1.2650001E-3,-59.999998659E-3,
,,,-1.2640001E-3,-1.0400000,,,,,-1.2640001E-3,-79.999998212E-3,
,,,-1.2630001E-3,-1.0400000,,,,,-1.2630001E-3,-59.999998659E-3,
,,,-1.2620001E-3,-1.000000,,,,,-1.2620001E-3,-79.999998212E-3,
,,,-1.2610001E-3,-1.000000,,,,,-1.2610001E-3,-79.999998212E-3,
,,,-1.2600000E-3,-1.0400000,,,,,-1.2600000E-3,-79.999998212E-3,
,,,-1.2590000E-3,-1.000000,,,,,-1.2590000E-3,-79.999998212E-3,
,,,-1.2580000E-3,-1.0400000,,,,,-1.2580000E-3,-79.999998212E-3,
,,,-1.2570000E-3,-1.0400000,,,,,-1.2570000E-3,-79.999998212E-3,
,,,-1.2560000E-3,-1.0400000,,,,,-1.2560000E-3,-79.999998212E-3,
,,,-1.2550000E-3,-1.000000,,,,,-1.2550000E-3,-99.999994040E-3,
,,,-1.2540000E-3,-1.000000,,,,,-1.2540000E-3,-99.999994040E-3,
,,,-1.2530000E-3,-1.0400000,,,,,-1.2530000E-3,-79.999998212E-3,
,,,-1.2520000E-3,-1.000000,,,,,-1.2520000E-3,-99.999994040E-3,
,,,-1.2510001E-3,-1.000000,,,,,-1.2510001E-3,-99.999994040E-3,
,,,-1.2500001E-3,-1.000000,,,,,-1.2500001E-3,-79.999998212E-3,
,,,-1.2490001E-3,-1.000000,,,,,-1.2490001E-3,-99.999994040E-3,
,,,-1.2480001E-3,-1.0400000,,,,,-1.2480001E-3,-99.999994040E-3,
,,,-1.2470001E-3,-1.000000,,,,,-1.2470001E-3,-79.999998212E-3,
,,,-1.2460001E-3,-1.000000,,,,,-1.2460001E-3,-79.999998212E-3,
,,,-1.2450001E-3,-1.000000,,,,,-1.2450001E-3,-79.999998212E-3,
,,,-1.2440000E-3,-1.000000,,,,,-1.2440000E-3,-79.999998212E-3,
,,,-1.2430000E-3,-959.999978542E-3,,,,,-1.2430000E-3,-99.999994040E-3,
,,,-1.2420000E-3,-1.000000,,,,,-1.2420000E-3,-99.999994040E-3,
,,,-1.2410000E-3,-1.000000,,,,,-1.2410000E-3,-99.999994040E-3,
,,,-1.2400000E-3,-1.000000,,,,,-1.2400000E-3,-79.999998212E-3,
,,,-1.2390000E-3,-1.000000,,,,,-1.2390000E-3,-99.999994040E-3,
,,,-1.2380000E-3,-1.000000,,,,,-1.2380000E-3,-119.9999973E-3,
,,,-1.2370000E-3,-1.000000,,,,,-1.2370000E-3,-99.999994040E-3,
