Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;;;
;;;-905000.0226;719999969;;;;;-905000.0226;-1199999.973;;;;
;;;-904000.0732;680000007.2;;;;;-904000.0732;-1199999.973;;;;
;;;-903000.0656;680000007.2;;;;;-903000.0656;-1199999.973;;;;
;;;-902000.058;719999969;;;;;-902000.058;-1199999.973;;;;
;;;-901000.0504;719999969;;;;;-901000.0504;-1199999.973;;;;
;;;-900000.0427;719999969;;;;;-900000.0427;-99999994.04;;;;
;;;-899000.0351;719999969;;;;;-899000.0351;-99999994.04;;;;
;;;-898000.0275;680000007.2;;;;;-898000.0275;-1199999.973;;;;
;;;-897000.0199;719999969;;;;;-897000.0199;-1199999.973;;;;
;;;-896000.0705;719999969;;;;;-896000.0705;-99999994.04;;;;
;;;-895000.0629;719999969;;;;;-895000.0629;-99999994.04;;;;
;;;-894000.0553;719999969;;;;;-894000.0553;-99999994.04;;;;
;;;-893000.0477;719999969;;;;;-893000.0477;-99999994.04;;;;
;;;-892000.04;719999969;;;;;-892000.04;-99999994.04;;;;
;;;-891000.0324;759999990.5;;;;;-891000.0324;-1199999.973;;;;
;;;-890000.0248;719999969;;;;;-890000.0248;-1199999.973;;;;
;;;-889000.0172;719999969;;;;;-889000.0172;-99999994.04;;;;
;;;-888000.0678;759999990.5;;;;;-888000.0678;-99999994.04;;;;
;;;-887000.0602;799999952.3;;;;;-887000.0602;-99999994.04;;;;
;;;-886000.0526;759999990.5;;;;;-886000.0526;-99999994.04;;;;
;;;-885000.0449;799999952.3;;;;;-885000.0449;-99999994.04;;;;
;;;-884000.0373;799999952.3;;;;;-884000.0373;-79999998.21;;;;
;;;-883000.0297;799999952.3;;;;;-883000.0297;-79999998.21;;;;
;;;-882000.0221;799999952.3;;;;;-882000.0221;-79999998.21;;;;
;;;-881000.0727;759999990.5;;;;;-881000.0727;-99999994.04;;;;
;;;-880000.0651;799999952.3;;;;;-880000.0651;-79999998.21;;;;
;;;-879000.0575;839999973.8;;;;;-879000.0575;-99999994.04;;;;
;;;-878000.0499;839999973.8;;;;;-878000.0499;-79999998.21;;;;
;;;-877000.0422;799999952.3;;;;;-877000.0422;-79999998.21;;;;
;;;-876000.0346;799999952.3;;;;;-876000.0346;-79999998.21;;;;
;;;-875000.027;799999952.3;;;;;-875000.027;-79999998.21;;;;
;;;-874000.0194;839999973.8;;;;;-874000.0194;-79999998.21;;;;
;;;-873000.07;799999952.3;;;;;-873000.07;-79999998.21;;;;
;;;-872000.0624;839999973.8;;;;;-872000.0624;-99999994.04;;;;
;;;-871000.0548;799999952.3;;;;;-871000.0548;-79999998.21;;;;
;;;-870000.0471;839999973.8;;;;;-870000.0471;-79999998.21;;;;
;;;-869000.0395;839999973.8;;;;;-869000.0395;-79999998.21;;;;
;;;-868000.0319;839999973.8;;;;;-868000.0319;-59999998.66;;;;
;;;-867000.0243;839999973.8;;;;;-867000.0243;-59999998.66;;;;
;;;-866000.0167;839999973.8;;;;;-866000.0167;-79999998.21;;;;
;;;-865000.0673;839999973.8;;;;;-865000.0673;-59999998.66;;;;
;;;-864000.0597;839999973.8;;;;;-864000.0597;-59999998.66;;;;
;;;-863000.0521;839999973.8;;;;;-863000.0521;-79999998.21;;;;
;;;-862000.0444;879999995.2;;;;;-862000.0444;-79999998.21;;;;
;;;-861000.0368;839999973.8;;;;;-861000.0368;-79999998.21;;;;
;;;-860000.0292;839999973.8;;;;;-860000.0292;-59999998.66;;;;
;;;-859000.0216;879999995.2;;;;;-859000.0216;-79999998.21;;;;
;;;-858000.0722;879999995.2;;;;;-858000.0722;-59999998.66;;;;
;;;-857000.0646;839999973.8;;;;;-857000.0646;-79999998.21;;;;
;;;-856000.057;879999995.2;;;;;-856000.057;-79999998.21;;;;
;;;-855000.0493;879999995.2;;;;;-855000.0493;-59999998.66;;;;
;;;-854000.0417;879999995.2;;;;;-854000.0417;-59999998.66;;;;
;;;-853000.0341;879999995.2;;;;;-853000.0341;-79999998.21;;;;
;;;-852000.0265;879999995.2;;;;;-852000.0265;-59999998.66;;;;
;;;-851000.0189;879999995.2;;;;;-851000.0189;-59999998.66;;;;
;;;-850000.0695;879999995.2;;;;;-850000.0695;-3999999.911;;;;
;;;-849000.0619;879999995.2;;;;;-849000.0619;-3999999.911;;;;
;;;-848000.0542;879999995.2;;;;;-848000.0542;-3999999.911;;;;
;;;-847000.0466;879999995.2;;;;;-847000.0466;-59999998.66;;;;
;;;-846000.039;919999957.1;;;;;-846000.039;-3999999.911;;;;
;;;-845000.0314;919999957.1;;;;;-845000.0314;-3999999.911;;;;
;;;-844000.0238;919999957.1;;;;;-844000.0238;-199999.996;;;;
;;;-843000.0162;919999957.1;;;;;-843000.0162;-3999999.911;;;;
;;;-842000.0668;919999957.1;;;;;-842000.0668;-3999999.911;;;;
;;;-841000.0592;959999978.5;;;;;-841000.0592;-199999.996;;;;
;;;-840000.0515;959999978.5;;;;;-840000.0515;-3999999.911;;;;
;;;-839000.0439;919999957.1;;;;;-839000.0439;-3999999.911;;;;
;;;-838000.0363;919999957.1;;;;;-838000.0363;-3999999.911;;;;
;;;-837000.0287;919999957.1;;;;;-837000.0287;-199999.996;;;;
;;;-836000.0211;919999957.1;;;;;-836000.0211;-3999999.911;;;;
;;;-835000.0717;919999957.1;;;;;-835000.0717;-3999999.911;;;;
;;;-834000.0641;919999957.1;;;;;-834000.0641;-3999999.911;;;;
;;;-833000.0564;919999957.1;;;;;-833000.0564;-199999.996;;;;
;;;-832000.0488;959999978.5;;;;;-832000.0488;-199999.996;;;;
;;;-831000.0412;919999957.1;;;;;-831000.0412;-199999.996;;;;
;;;-830000.0336;959999978.5;;;;;-830000.0336;-199999.996;;;;
;;;-829000.026;919999957.1;;;;;-829000.026;-199999.996;;;;
;;;-828000.0184;959999978.5;;;;;-828000.0184;-199999.996;;;;
;;;-827000.069;959999978.5;;;;;-827000.069;-199999.996;;;;
;;;-826000.0614;959999978.5;;;;;-826000.0614;-3999999.911;;;;
;;;-825000.0537;959999978.5;;;;;-825000.0537;-199999.996;;;;
;;;-824000.0461;959999978.5;;;;;-824000.0461;-199999.996;;;;
;;;-823000.0385;959999978.5;;;;;-823000.0385;-199999.996;;;;
;;;-822000.0309;959999978.5;;;;;-822000.0309;-199999.996;;;;
;;;-821000.0233;959999978.5;;;;;-821000.0233;0;;;;
;;;-820000.0739;919999957.1;;;;;-820000.0739;-199999.996;;;;
;;;-819000.0663;959999978.5;;;;;-819000.0663;-199999.996;;;;
;;;-818000.0586;959999978.5;;;;;-818000.0586;-199999.996;;;;
;;;-817000.051;959999978.5;;;;;-817000.051;-199999.996;;;;
;;;-816000.0434;959999978.5;;;;;-816000.0434;-199999.996;;;;
;;;-815000.0358;959999978.5;;;;;-815000.0358;-199999.996;;;;
;;;-814000.0282;1000000;;;;;-814000.0282;0;;;;
;;;-813000.0206;959999978.5;;;;;-813000.0206;0;;;;
;;;-812000.0712;959999978.5;;;;;-812000.0712;-199999.996;;;;
;;;-811000.0636;1000000;;;;;-811000.0636;199999.996;;;;
;;;-810000.0559;1000000;;;;;-810000.0559;0;;;;
;;;-809000.0483;959999978.5;;;;;-809000.0483;199999.996;;;;
;;;-808000.0407;959999978.5;;;;;-808000.0407;0;;;;
;;;-807000.0331;959999978.5;;;;;-807000.0331;0;;;;
;;;-806000.0255;959999978.5;;;;;-806000.0255;0;;;;
;;;-805000.0179;959999978.5;;;;;-805000.0179;199999.996;;;;
;;;-804000.0685;1000000;;;;;-804000.0685;199999.996;;;;
;;;-803000.0608;1000000;;;;;-803000.0608;199999.996;;;;
;;;-802000.0532;959999978.5;;;;;-802000.0532;199999.996;;;;
;;;-801000.0456;1000000;;;;;-801000.0456;199999.996;;;;
;;;-800000.038;959999978.5;;;;;-800000.038;0;;;;
;;;-799000.0304;1000000;;;;;-799000.0304;199999.996;;;;
;;;-798000.0228;959999978.5;;;;;-798000.0228;199999.996;;;;
;;;-797000.0734;1000000;;;;;-797000.0734;199999.996;;;;
;;;-796000.0657;1000000;;;;;-796000.0657;199999.996;;;;
;;;-795000.0581;1000000;;;;;-795000.0581;199999.996;;;;
;;;-794000.0505;1000000;;;;;-794000.0505;3999999.911;;;;
;;;-793000.0429;1000000;;;;;-793000.0429;199999.996;;;;
;;;-792000.0353;1000000;;;;;-792000.0353;3999999.911;;;;
;;;-791000.0277;1000000;;;;;-791000.0277;3999999.911;;;;
;;;-790000.0201;959999978.5;;;;;-790000.0201;3999999.911;;;;
;;;-789000.0707;959999978.5;;;;;-789000.0707;199999.996;;;;
;;;-788000.063;1000000;;;;;-788000.063;199999.996;;;;
;;;-787000.0554;1000000;;;;;-787000.0554;199999.996;;;;
;;;-786000.0478;959999978.5;;;;;-786000.0478;3999999.911;;;;
;;;-785000.0402;959999978.5;;;;;-785000.0402;3999999.911;;;;
;;;-784000.0326;1000000;;;;;-784000.0326;3999999.911;;;;
;;;-783000.025;959999978.5;;;;;-783000.025;3999999.911;;;;
;;;-782000.0174;1000000;;;;;-782000.0174;3999999.911;;;;
;;;-781000.0679;1000000;;;;;-781000.0679;3999999.911;;;;
;;;-780000.0603;1000000;;;;;-780000.0603;59999998.66;;;;
;;;-779000.0527;1000000;;;;;-779000.0527;3999999.911;;;;
;;;-778000.0451;959999978.5;;;;;-778000.0451;3999999.911;;;;
;;;-777000.0375;1000000;;;;;-777000.0375;59999998.66;;;;
;;;-776000.0299;1000000;;;;;-776000.0299;3999999.911;;;;
;;;-775000.0223;1000000;;;;;-775000.0223;3999999.911;;;;
;;;-774000.0729;1000000;;;;;-774000.0729;3999999.911;;;;
;;;-773000.0652;959999978.5;;;;;-773000.0652;59999998.66;;;;
;;;-772000.0576;1000000;;;;;-772000.0576;3999999.911;;;;
;;;-771000.05;1000000;;;;;-771000.05;59999998.66;;;;
;;;-770000.0424;1000000;;;;;-770000.0424;59999998.66;;;;
;;;-769000.0348;1000000;;;;;-769000.0348;3999999.911;;;;
;;;-768000.0272;1000000;;;;;-768000.0272;59999998.66;;;;
;;;-767000.0196;959999978.5;;;;;-767000.0196;59999998.66;;;;
;;;-766000.0701;1000000;;;;;-766000.0701;79999998.21;;;;
;;;-765000.0625;1000000;;;;;-765000.0625;59999998.66;;;;
;;;-764000.0549;959999978.5;;;;;-764000.0549;59999998.66;;;;
;;;-763000.0473;1000000;;;;;-763000.0473;59999998.66;;;;
;;;-762000.0397;1000000;;;;;-762000.0397;59999998.66;;;;
;;;-761000.0321;1000000;;;;;-761000.0321;79999998.21;;;;
;;;-760000.0245;959999978.5;;;;;-760000.0245;59999998.66;;;;
;;;-759000.0168;1000000;;;;;-759000.0168;79999998.21;;;;
;;;-758000.0674;1000000;;;;;-758000.0674;79999998.21;;;;
;;;-757000.0598;959999978.5;;;;;-757000.0598;79999998.21;;;;
;;;-756000.0522;1000000;;;;;-756000.0522;79999998.21;;;;
;;;-755000.0446;1000000;;;;;-755000.0446;79999998.21;;;;
;;;-754000.037;959999978.5;;;;;-754000.037;79999998.21;;;;
;;;-753000.0294;1000000;;;;;-753000.0294;99999994.04;;;;
;;;-752000.0217;1000000;;;;;-752000.0217;79999998.21;;;;
;;;-751000.0723;1000000;;;;;-751000.0723;79999998.21;;;;
;;;-750000.0647;959999978.5;;;;;-750000.0647;79999998.21;;;;
;;;-749000.0571;959999978.5;;;;;-749000.0571;59999998.66;;;;
;;;-748000.0495;1000000;;;;;-748000.0495;79999998.21;;;;
;;;-747000.0419;1000000;;;;;-747000.0419;79999998.21;;;;
;;;-746000.0343;1000000;;;;;-746000.0343;79999998.21;;;;
;;;-745000.0267;1000000;;;;;-745000.0267;79999998.21;;;;
;;;-744000.019;1000000;;;;;-744000.019;99999994.04;;;;
;;;-743000.0696;959999978.5;;;;;-743000.0696;99999994.04;;;;
;;;-742000.062;959999978.5;;;;;-742000.062;99999994.04;;;;
;;;-741000.0544;959999978.5;;;;;-741000.0544;99999994.04;;;;
;;;-740000.0468;959999978.5;;;;;-740000.0468;79999998.21;;;;
;;;-739000.0392;959999978.5;;;;;-739000.0392;99999994.04;;;;
;;;-738000.0316;959999978.5;;;;;-738000.0316;99999994.04;;;;
;;;-737000.0239;1000000;;;;;-737000.0239;79999998.21;;;;
;;;-736000.0163;959999978.5;;;;;-736000.0163;99999994.04;;;;
;;;-735000.0669;959999978.5;;;;;-735000.0669;99999994.04;;;;
;;;-734000.0593;959999978.5;;;;;-734000.0593;99999994.04;;;;
;;;-733000.0517;1000000;;;;;-733000.0517;79999998.21;;;;
;;;-732000.0441;959999978.5;;;;;-732000.0441;99999994.04;;;;
;;;-731000.0365;959999978.5;;;;;-731000.0365;99999994.04;;;;
;;;-730000.0289;959999978.5;;;;;-730000.0289;99999994.04;;;;
;;;-729000.0212;959999978.5;;;;;-729000.0212;1199999.973;;;;
;;;-728000.0718;959999978.5;;;;;-728000.0718;99999994.04;;;;
;;;-727000.0642;959999978.5;;;;;-727000.0642;99999994.04;;;;
;;;-726000.0566;919999957.1;;;;;-726000.0566;1199999.973;;;;
;;;-725000.049;959999978.5;;;;;-725000.049;99999994.04;;;;
;;;-724000.0414;959999978.5;;;;;-724000.0414;1199999.973;;;;
;;;-723000.0338;959999978.5;;;;;-723000.0338;1199999.973;;;;
;;;-722000.0261;959999978.5;;;;;-722000.0261;99999994.04;;;;
;;;-721000.0185;919999957.1;;;;;-721000.0185;1199999.973;;;;
;;;-720000.0691;919999957.1;;;;;-720000.0691;99999994.04;;;;
;;;-719000.0615;959999978.5;;;;;-719000.0615;1199999.973;;;;
;;;-718000.0539;919999957.1;;;;;-718000.0539;1199999.973;;;;
;;;-717000.0463;919999957.1;;;;;-717000.0463;99999994.04;;;;
;;;-716000.0387;919999957.1;;;;;-716000.0387;1199999.973;;;;
;;;-715000.0311;919999957.1;;;;;-715000.0311;1199999.973;;;;
;;;-714000.0234;919999957.1;;;;;-714000.0234;99999994.04;;;;
;;;-713000.074;919999957.1;;;;;-713000.074;1199999.973;;;;
;;;-712000.0664;919999957.1;;;;;-712000.0664;1199999.973;;;;
;;;-711000.0588;919999957.1;;;;;-711000.0588;1199999.973;;;;
;;;-710000.0512;919999957.1;;;;;-710000.0512;1199999.973;;;;
;;;-709000.0436;919999957.1;;;;;-709000.0436;1199999.973;;;;
;;;-708000.036;919999957.1;;;;;-708000.036;1400000.006;;;;
;;;-707000.0283;879999995.2;;;;;-707000.0283;1199999.973;;;;
;;;-706000.0207;879999995.2;;;;;-706000.0207;1199999.973;;;;
;;;-705000.0713;919999957.1;;;;;-705000.0713;1199999.973;;;;
;;;-704000.0637;879999995.2;;;;;-704000.0637;1400000.006;;;;
;;;-703000.0561;879999995.2;;;;;-703000.0561;1400000.006;;;;
;;;-702000.0485;879999995.2;;;;;-702000.0485;1400000.006;;;;
;;;-701000.0409;919999957.1;;;;;-701000.0409;1199999.973;;;;
;;;-700000.0332;879999995.2;;;;;-700000.0332;1400000.006;;;;
;;;-699000.0256;879999995.2;;;;;-699000.0256;1400000.006;;;;
;;;-698000.018;879999995.2;;;;;-698000.018;1400000.006;;;;
;;;-697000.0686;879999995.2;;;;;-697000.0686;1400000.006;;;;
;;;-696000.061;879999995.2;;;;;-696000.061;1400000.006;;;;
;;;-695000.0534;879999995.2;;;;;-695000.0534;15999999.64;;;;
;;;-694000.0458;879999995.2;;;;;-694000.0458;1400000.006;;;;
;;;-693000.0382;839999973.8;;;;;-693000.0382;1400000.006;;;;
;;;-692000.0305;839999973.8;;;;;-692000.0305;1199999.973;;;;
;;;-691000.0229;839999973.8;;;;;-691000.0229;1400000.006;;;;
;;;-690000.0735;839999973.8;;;;;-690000.0735;1400000.006;;;;
;;;-689000.0659;839999973.8;;;;;-689000.0659;1400000.006;;;;
;;;-688000.0583;839999973.8;;;;;-688000.0583;1400000.006;;;;
;;;-687000.0507;839999973.8;;;;;-687000.0507;1400000.006;;;;
;;;-686000.0431;839999973.8;;;;;-686000.0431;15999999.64;;;;
;;;-685000.0354;839999973.8;;;;;-685000.0354;15999999.64;;;;
;;;-684000.0278;839999973.8;;;;;-684000.0278;15999999.64;;;;
;;;-683000.0202;839999973.8;;;;;-683000.0202;15999999.64;;;;
;;;-682000.0708;799999952.3;;;;;-682000.0708;15999999.64;;;;
;;;-681000.0632;839999973.8;;;;;-681000.0632;15999999.64;;;;
;;;-680000.0556;799999952.3;;;;;-680000.0556;1400000.006;;;;
;;;-679000.048;839999973.8;;;;;-679000.048;1400000.006;;;;
;;;-678000.0404;839999973.8;;;;;-678000.0404;15999999.64;;;;
;;;-677000.0327;839999973.8;;;;;-677000.0327;15999999.64;;;;
;;;-676000.0251;799999952.3;;;;;-676000.0251;15999999.64;;;;
;;;-675000.0175;799999952.3;;;;;-675000.0175;15999999.64;;;;
;;;-674000.0681;799999952.3;;;;;-674000.0681;15999999.64;;;;
;;;-673000.0605;759999990.5;;;;;-673000.0605;15999999.64;;;;
;;;-672000.0529;799999952.3;;;;;-672000.0529;15999999.64;;;;
;;;-671000.0453;799999952.3;;;;;-671000.0453;15999999.64;;;;
;;;-670000.0376;799999952.3;;;;;-670000.0376;15999999.64;;;;
;;;-669000.03;799999952.3;;;;;-669000.03;15999999.64;;;;
;;;-668000.0224;759999990.5;;;;;-668000.0224;15999999.64;;;;
;;;-667000.073;759999990.5;;;;;-667000.073;15999999.64;;;;
;;;-666000.0654;759999990.5;;;;;-666000.0654;17999999.23;;;;
;;;-665000.0578;759999990.5;;;;;-665000.0578;15999999.64;;;;
;;;-664000.0502;719999969;;;;;-664000.0502;15999999.64;;;;
;;;-663000.0426;759999990.5;;;;;-663000.0426;15999999.64;;;;
;;;-662000.0349;719999969;;;;;-662000.0349;15999999.64;;;;
;;;-661000.0273;719999969;;;;;-661000.0273;15999999.64;;;;
;;;-660000.0197;719999969;;;;;-660000.0197;15999999.64;;;;
;;;-659000.0703;719999969;;;;;-659000.0703;15999999.64;;;;
;;;-658000.0627;719999969;;;;;-658000.0627;15999999.64;;;;
;;;-657000.0551;719999969;;;;;-657000.0551;17999999.23;;;;
;;;-656000.0475;719999969;;;;;-656000.0475;17999999.23;;;;
;;;-655000.0398;719999969;;;;;-655000.0398;17999999.23;;;;
;;;-654000.0322;719999969;;;;;-654000.0322;17999999.23;;;;
;;;-653000.0246;719999969;;;;;-653000.0246;15999999.64;;;;
;;;-652000.017;719999969;;;;;-652000.017;15999999.64;;;;
;;;-651000.0676;719999969;;;;;-651000.0676;15999999.64;;;;
;;;-650000.06;680000007.2;;;;;-650000.06;15999999.64;;;;
;;;-649000.0524;680000007.2;;;;;-649000.0524;15999999.64;;;;
;;;-648000.0447;680000007.2;;;;;-648000.0447;15999999.64;;;;
;;;-647000.0371;680000007.2;;;;;-647000.0371;17999999.23;;;;
;;;-646000.0295;680000007.2;;;;;-646000.0295;17999999.23;;;;
;;;-645000.0219;680000007.2;;;;;-645000.0219;17999999.23;;;;
;;;-644000.0725;680000007.2;;;;;-644000.0725;17999999.23;;;;
;;;-643000.0649;639999985.7;;;;;-643000.0649;17999999.23;;;;
;;;-642000.0573;680000007.2;;;;;-642000.0573;17999999.23;;;;
;;;-641000.0497;639999985.7;;;;;-641000.0497;17999999.23;;;;
;;;-640000.042;639999985.7;;;;;-640000.042;15999999.64;;;;
;;;-639000.0344;639999985.7;;;;;-639000.0344;17999999.23;;;;
;;;-638000.0268;639999985.7;;;;;-638000.0268;17999999.23;;;;
;;;-637000.0192;639999985.7;;;;;-637000.0192;17999999.23;;;;
;;;-636000.0698;639999985.7;;;;;-636000.0698;19999998.81;;;;
;;;-635000.0622;639999985.7;;;;;-635000.0622;19999998.81;;;;
;;;-634000.0546;599999964.2;;;;;-634000.0546;19999998.81;;;;
;;;-633000.0469;599999964.2;;;;;-633000.0469;19999998.81;;;;
;;;-632000.0393;599999964.2;;;;;-632000.0393;17999999.23;;;;
;;;-631000.0317;560000002.4;;;;;-631000.0317;19999998.81;;;;
;;;-630000.0241;560000002.4;;;;;-630000.0241;19999998.81;;;;
;;;-629000.0165;599999964.2;;;;;-629000.0165;19999998.81;;;;
;;;-628000.0671;519999980.9;;;;;-628000.0671;17999999.23;;;;
;;;-627000.0595;599999964.2;;;;;-627000.0595;17999999.23;;;;
;;;-626000.0519;560000002.4;;;;;-626000.0519;19999998.81;;;;
;;;-625000.0442;560000002.4;;;;;-625000.0442;17999999.23;;;;
;;;-624000.0366;560000002.4;;;;;-624000.0366;17999999.23;;;;
;;;-623000.029;560000002.4;;;;;-623000.029;17999999.23;;;;
;;;-622000.0214;560000002.4;;;;;-622000.0214;17999999.23;;;;
;;;-621000.072;560000002.4;;;;;-621000.072;17999999.23;;;;
;;;-620000.0644;560000002.4;;;;;-620000.0644;19999998.81;;;;
;;;-619000.0568;519999980.9;;;;;-619000.0568;19999998.81;;;;
;;;-618000.0491;519999980.9;;;;;-618000.0491;19999998.81;;;;
;;;-617000.0415;519999980.9;;;;;-617000.0415;19999998.81;;;;
;;;-616000.0339;519999980.9;;;;;-616000.0339;19999998.81;;;;
;;;-615000.0263;479999989.3;;;;;-615000.0263;17999999.23;;;;
;;;-614000.0187;479999989.3;;;;;-614000.0187;17999999.23;;;;
;;;-613000.0693;479999989.3;;;;;-613000.0693;19999998.81;;;;
;;;-612000.0617;479999989.3;;;;;-612000.0617;19999998.81;;;;
;;;-611000.0541;479999989.3;;;;;-611000.0541;21999999.88;;;;
;;;-610000.0464;479999989.3;;;;;-610000.0464;19999998.81;;;;
;;;-609000.0388;479999989.3;;;;;-609000.0388;19999998.81;;;;
;;;-608000.0312;479999989.3;;;;;-608000.0312;19999998.81;;;;
;;;-607000.0236;479999989.3;;;;;-607000.0236;19999998.81;;;;
;;;-606000.0742;479999989.3;;;;;-606000.0742;19999998.81;;;;
;;;-605000.0666;479999989.3;;;;;-605000.0666;19999998.81;;;;
;;;-604000.059;479999989.3;;;;;-604000.059;19999998.81;;;;
;;;-603000.0513;439999997.6;;;;;-603000.0513;17999999.23;;;;
;;;-602000.0437;439999997.6;;;;;-602000.0437;21999999.88;;;;
;;;-601000.0361;439999997.6;;;;;-601000.0361;19999998.81;;;;
;;;-600000.0285;439999997.6;;;;;-600000.0285;21999999.88;;;;
;;;-599000.0209;39999997.62;;;;;-599000.0209;19999998.81;;;;
;;;-598000.0715;439999997.6;;;;;-598000.0715;19999998.81;;;;
;;;-597000.0639;39999997.62;;;;;-597000.0639;19999998.81;;;;
;;;-596000.0562;39999997.62;;;;;-596000.0562;21999999.88;;;;
;;;-595000.0486;39999997.62;;;;;-595000.0486;19999998.81;;;;
;;;-594000.041;39999997.62;;;;;-594000.041;19999998.81;;;;
;;;-593000.0334;39999997.62;;;;;-593000.0334;19999998.81;;;;
;;;-592000.0258;35999998.45;;;;;-592000.0258;17999999.23;;;;
;;;-591000.0182;39999997.62;;;;;-591000.0182;21999999.88;;;;
;;;-590000.0688;39999997.62;;;;;-590000.0688;21999999.88;;;;
;;;-589000.0612;35999998.45;;;;;-589000.0612;19999998.81;;;;
;;;-588000.0535;35999998.45;;;;;-588000.0535;19999998.81;;;;
;;;-587000.0459;35999998.45;;;;;-587000.0459;17999999.23;;;;
;;;-586000.0383;31999999.29;;;;;-586000.0383;19999998.81;;;;
;;;-585000.0307;31999999.29;;;;;-585000.0307;19999998.81;;;;
;;;-584000.0231;31999999.29;;;;;-584000.0231;19999998.81;;;;
;;;-583000.0737;35999998.45;;;;;-583000.0737;19999998.81;;;;
;;;-582000.0661;31999999.29;;;;;-582000.0661;21999999.88;;;;
;;;-581000.0584;31999999.29;;;;;-581000.0584;17999999.23;;;;
;;;-580000.0508;31999999.29;;;;;-580000.0508;21999999.88;;;;
;;;-579000.0432;28000000.12;;;;;-579000.0432;19999998.81;;;;
;;;-578000.0356;28000000.12;;;;;-578000.0356;19999998.81;;;;
;;;-577000.028;31999999.29;;;;;-577000.028;21999999.88;;;;
;;;-576000.0204;28000000.12;;;;;-576000.0204;19999998.81;;;;
;;;-575000.071;28000000.12;;;;;-575000.071;21999999.88;;;;
;;;-574000.0634;28000000.12;;;;;-574000.0634;19999998.81;;;;
;;;-573000.0557;28000000.12;;;;;-573000.0557;19999998.81;;;;
;;;-572000.0481;28000000.12;;;;;-572000.0481;21999999.88;;;;
;;;-571000.0405;28000000.12;;;;;-571000.0405;19999998.81;;;;
;;;-570000.0329;28000000.12;;;;;-570000.0329;21999999.88;;;;
;;;-569000.0253;23999999.46;;;;;-569000.0253;19999998.81;;;;
;;;-568000.0177;23999999.46;;;;;-568000.0177;19999998.81;;;;
;;;-567000.0683;23999999.46;;;;;-567000.0683;21999999.88;;;;
;;;-566000.0606;19999998.81;;;;;-566000.0606;21999999.88;;;;
;;;-565000.053;19999998.81;;;;;-565000.053;19999998.81;;;;
;;;-564000.0454;19999998.81;;;;;-564000.0454;19999998.81;;;;
;;;-563000.0378;19999998.81;;;;;-563000.0378;21999999.88;;;;
;;;-562000.0302;19999998.81;;;;;-562000.0302;21999999.88;;;;
;;;-561000.0226;19999998.81;;;;;-561000.0226;19999998.81;;;;
;;;-560000.0732;19999998.81;;;;;-560000.0732;19999998.81;;;;
;;;-559000.0656;15999999.64;;;;;-559000.0656;19999998.81;;;;
;;;-558000.0579;19999998.81;;;;;-558000.0579;19999998.81;;;;
;;;-557000.0503;15999999.64;;;;;-557000.0503;19999998.81;;;;
;;;-556000.0427;15999999.64;;;;;-556000.0427;19999998.81;;;;
;;;-555000.0351;1199999.973;;;;;-555000.0351;21999999.88;;;;
;;;-554000.0275;15999999.64;;;;;-554000.0275;19999998.81;;;;
;;;-553000.0199;15999999.64;;;;;-553000.0199;19999998.81;;;;
;;;-552000.0705;1199999.973;;;;;-552000.0705;21999999.88;;;;
;;;-551000.0628;1199999.973;;;;;-551000.0628;19999998.81;;;;
;;;-550000.0552;1199999.973;;;;;-550000.0552;19999998.81;;;;
;;;-549000.0476;1199999.973;;;;;-549000.0476;19999998.81;;;;
;;;-548000.04;1199999.973;;;;;-548000.04;17999999.23;;;;
;;;-547000.0324;1199999.973;;;;;-547000.0324;21999999.88;;;;
;;;-546000.0248;79999998.21;;;;;-546000.0248;19999998.81;;;;
;;;-545000.0172;1199999.973;;;;;-545000.0172;19999998.81;;;;
;;;-544000.0677;1199999.973;;;;;-544000.0677;19999998.81;;;;
;;;-543000.0601;79999998.21;;;;;-543000.0601;19999998.81;;;;
;;;-542000.0525;79999998.21;;;;;-542000.0525;21999999.88;;;;
;;;-541000.0449;3999999.911;;;;;-541000.0449;19999998.81;;;;
;;;-540000.0373;79999998.21;;;;;-540000.0373;19999998.81;;;;
;;;-539000.0297;3999999.911;;;;;-539000.0297;19999998.81;;;;
;;;-538000.0221;79999998.21;;;;;-538000.0221;17999999.23;;;;
;;;-537000.0727;3999999.911;;;;;-537000.0727;19999998.81;;;;
;;;-536000.065;3999999.911;;;;;-536000.065;19999998.81;;;;
;;;-535000.0574;3999999.911;;;;;-535000.0574;21999999.88;;;;
;;;-534000.0498;3999999.911;;;;;-534000.0498;19999998.81;;;;
;;;-533000.0422;3999999.911;;;;;-533000.0422;17999999.23;;;;
;;;-532000.0346;0;;;;;-532000.0346;19999998.81;;;;
;;;-531000.027;0;;;;;-531000.027;19999998.81;;;;
;;;-530000.0194;0;;;;;-530000.0194;19999998.81;;;;
;;;-529000.0699;0;;;;;-529000.0699;21999999.88;;;;
;;;-528000.0623;0;;;;;-528000.0623;19999998.81;;;;
;;;-527000.0547;0;;;;;-527000.0547;17999999.23;;;;
;;;-526000.0471;-3999999.911;;;;;-526000.0471;19999998.81;;;;
;;;-525000.0395;-3999999.911;;;;;-525000.0395;17999999.23;;;;
;;;-524000.0319;-3999999.911;;;;;-524000.0319;19999998.81;;;;
;;;-523000.0243;0;;;;;-523000.0243;21999999.88;;;;
