Corriente;Flujo;Integral
0.078;0.02;
0.088;0.07;
0.099;0.12;
0.11;0.17;
0.123;0.22;
0.137;0.27;
0.151;0.32;
0.169;0.37;
0.188;0.41;
0.21;0.46;
0.235;0.5;
0.263;0.54;
0.293;0.58;
0.327;0.61;
0.361;0.64;
0.397;0.67;
0.431;0.69;
0.463;0.71;
0.492;0.73;
0.517;0.74;
0.537;0.75;
0.553;0.75;
0.565;0.76;
0.572;0.76;
0.576;0.76;
0.577;0.76;
0.574;0.76;
0.568;0.76;
0.559;0.76;
0.549;0.76;
0.539;0.76;
0.528;0.76;
0.515;0.76;
0.501;0.76;
0.488;0.75;
0.473;0.75;
0.459;0.75;
0.444;0.75;
0.428;0.74;
0.411;0.74;
0.394;0.74;
0.377;0.73;
0.359;0.73;
0.343;0.72;
0.325;0.72;
0.306;0.71;
0.288;0.71;
0.271;0.7;
0.253;0.69;
0.234;0.68;
0.216;0.67;
0.2;0.66;
0.183;0.65;
0.167;0.63;
0.149;0.62;
0.133;0.6;
0.117;0.58;
0.103;0.57;
0.088;0.55;
0.073;0.52;
0.061;0.5;
0.048;0.48;
0.035;0.45;
0.025;0.42;
0.014;0.39;
0.004;0.36;
-0.004;0.33;
-0.013;0.29;
-0.021;0.26;
-0.029;0.22;
-0.036;0.18;
-0.044;0.14;
-0.052;0.09;
-0.06;0.05;
-0.07;0;
-0.079;-0.05;
-0.089;-0.09;
-0.1;-0.14;
-0.112;-0.19;
-0.125;-0.24;
-0.139;-0.29;
-0.154;-0.34;
-0.172;-0.39;
-0.192;-0.43;
-0.214;-0.48;
